code,disease,category
550,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
560,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
561,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
562,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
563,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
566,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
567,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
580,"""Anesthesia for Intrathoracic Procedures.Anesthesia. Local Anesthesia""",Anesthesiology
600,"""Anesthesia for Procedures on the Spine and Spinal Cord.Anesthesia. Local Anesthesia""",Anesthesiology
604,"""Anesthesia for Procedures on the Spine and Spinal Cord.Anesthesia. Local Anesthesia""",Anesthesiology
620,"""Anesthesia for Procedures on the Spine and Spinal Cord.Anesthesia. Local Anesthesia""",Anesthesiology
625,"""Anesthesia for Procedures on the Spine and Spinal Cord.Anesthesia. Local Anesthesia""",Anesthesiology
626,"""Anesthesia for Procedures on the Spine and Spinal Cord.Anesthesia. Local Anesthesia""",Anesthesiology
630,"""Anesthesia for Procedures on the Spine and Spinal Cord.Anesthesia. Local Anesthesia""",Anesthesiology
632,"""Anesthesia for Procedures on the Spine and Spinal Cord.Anesthesia. Local Anesthesia""",Anesthesiology
635,"""Anesthesia for Procedures on the Spine and Spinal Cord.Anesthesia. Local Anesthesia""",Anesthesiology
640,"""Anesthesia for Procedures on the Spine and Spinal Cord.Anesthesia. Local Anesthesia""",Anesthesiology
670,"""Anesthesia for Procedures on the Spine and Spinal Cord.Anesthesia. Local Anesthesia""",Anesthesiology
700,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Local Anesthesia""",Anesthesiology
702,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Local Anesthesia""",Anesthesiology
730,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Local Anesthesia""",Anesthesiology
731,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Local Anesthesia""",Anesthesiology
732,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Local Anesthesia""",Anesthesiology
750,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Sedation """,Anesthesiology
752,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Sedation """,Anesthesiology
754,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Sedation """,Anesthesiology
756,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Sedation """,Anesthesiology
770,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Sedation """,Anesthesiology
790,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Sedation """,Anesthesiology
792,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Sedation """,Anesthesiology
794,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Sedation """,Anesthesiology
796,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Sedation """,Anesthesiology
797,"""Anesthesia for Procedures on the Upper Abdomen.Anesthesia. Sedation """,Anesthesiology
800,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. Monitored Anesthesia Care""",Anesthesiology
802,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. Monitored Anesthesia Care""",Anesthesiology
811,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
812,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
813,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
820,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
830,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
832,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
834,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
836,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
840,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
842,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
844,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
846,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
848,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
851,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
860,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
862,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
864,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
865,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
866,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
868,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
870,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
872,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
873,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
880,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
882,"""Anesthesia for Procedures on the Lower Abdomen.Anesthesia. General Anesthesia""",Anesthesiology
902,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
904,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
906,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
908,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
910,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
912,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
914,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
916,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
918,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
920,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
921,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
922,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
924,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
926,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
928,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
930,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
932,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
934,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
936,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
938,"""Anesthesia for Procedures on the Perineum.Anesthesia. for Obstetrical Services""",Anesthesiology
940,"""Anesthesia for Procedures on the Perineum.Anesthesia. Administration""",Anesthesiology
942,"""Anesthesia for Procedures on the Perineum.Anesthesia. Administration""",Anesthesiology
944,"""Anesthesia for Procedures on the Perineum.Anesthesia. Administration""",Anesthesiology
948,"""Anesthesia for Procedures on the Perineum.Anesthesia. Administration""",Anesthesiology
950,"""Anesthesia for Procedures on the Perineum.Anesthesia. Administration""",Anesthesiology
952,"""Anesthesia for Procedures on the Perineum.Anesthesia. General Anesthesia""",Anesthesiology
1112,"""Anesthesia for Procedures on the Pelvis (Except Hip).Anesthesia. General Anesthesia""",Anesthesiology
1120,"""Anesthesia for Procedures on the Pelvis (Except Hip).Anesthesia. Recovery    """,Anesthesiology
1130,"""Anesthesia for Procedures on the Pelvis (Except Hip).Anesthesia. Recovery    """,Anesthesiology
1140,"""Anesthesia for Procedures on the Pelvis (Except Hip).Anesthesia. General Anesthesia    """,Anesthesiology
1150,"""Anesthesia for Procedures on the Pelvis (Except Hip).Anesthesia. General Anesthesia    """,Anesthesiology
1160,"""Anesthesia for Procedures on the Pelvis (Except Hip).Anesthesia. General Anesthesia    """,Anesthesiology
1170,"""Anesthesia for Procedures on the Pelvis (Except Hip).Anesthesia. General Anesthesia    """,Anesthesiology
1173,"""Anesthesia for Procedures on the Pelvis (Except Hip).Anesthesia. General Anesthesia    """,Anesthesiology
1200,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1202,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1210,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1212,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1214,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1215,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1220,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1230,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1232,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1234,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1250,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1260,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1270,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1272,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1274,"""Anesthesia for Procedures on the Upper Leg (Except Knee).Anesthesia. for Gastrointestinal Services""",Anesthesiology
1320,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. General Anesthesia""",Anesthesiology
1340,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. General Anesthesia""",Anesthesiology
1360,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. General Anesthesia""",Anesthesiology
1380,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. General Anesthesia""",Anesthesiology
1382,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. General Anesthesia""",Anesthesiology
1390,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. General Anesthesia""",Anesthesiology
1392,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. General Anesthesia""",Anesthesiology
1400,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. for Orthopedic Services""",Anesthesiology
1402,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. for Orthopedic Services""",Anesthesiology
1404,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. for Orthopedic Services""",Anesthesiology
1420,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. for Orthopedic Services""",Anesthesiology
1430,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. for Orthopedic Services""",Anesthesiology
143A,"""Anesthesia for Procedures on the Knee and Popliteal Area.""",Anesthesiology
143B,"""Anesthesia for Procedures on the Knee and Popliteal Area.""",Anesthesiology
1432,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. for Orthopedic Services""",Anesthesiology
1440,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. for Orthopedic Services""",Anesthesiology
1442,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. for Orthopedic Services""",Anesthesiology
1444,"""Anesthesia for Procedures on the Knee and Popliteal Area.Anesthesia. for Orthopedic Services""",Anesthesiology
1462,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. General Anesthesia""",Anesthesiology
1464,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. General Anesthesia""",Anesthesiology
1470,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. General Anesthesia""",Anesthesiology
1472,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. General Anesthesia""",Anesthesiology
1474,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. General Anesthesia""",Anesthesiology
1480,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. General Anesthesia""",Anesthesiology
1482,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. General Anesthesia""",Anesthesiology
1484,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. General Anesthesia""",Anesthesiology
1486,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. General Anesthesia""",Anesthesiology
1490,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. General Anesthesia""",Anesthesiology
1500,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. for Cardiovascular Services""",Anesthesiology
1502,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. for Cardiovascular Services""",Anesthesiology
1520,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. for Cardiovascular Services""",Anesthesiology
1522,"""Anesthesia for Procedures on the Lower Leg (Below Knee).Anesthesia. for Cardiovascular Services""",Anesthesiology
1610,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1620,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1622,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1630,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1634,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1636,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1638,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1650,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1652,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1654,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1656,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1670,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1680,"""Anesthesia for Procedures on the Shoulder and Axilla.Anesthesia. for Neurosurgical Services""",Anesthesiology
1710,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1712,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1714,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1716,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1730,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1732,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1740,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1742,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1744,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1756,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1758,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1760,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1770,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1772,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1780,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1782,"""Anesthesia for Procedures on the Upper Arm and Elbow.Anesthesia. for ENT Services""",Anesthesiology
1810,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1820,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1829,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1830,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1832,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1840,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1842,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1844,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1850,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1852,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1860,"""Anesthesia for Procedures on the Forearm Wrist and Hand.Anesthesia. for Ophthalmic Services""",Anesthesiology
1916,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1920,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1922,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1924,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1925,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1926,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1930,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1931,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1932,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1933,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1937,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1938,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1939,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1940,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1941,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1942,"""Anesthesia for Radiological Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1951,"""Anesthesia for Burn Excisions or Debridement Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1952,"""Anesthesia for Burn Excisions or Debridement Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1953,"""Anesthesia for Burn Excisions or Debridement Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1958,"""Anesthesia for Obstetric Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1960,"""Anesthesia for Obstetric Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1961,"""Anesthesia for Obstetric Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1962,"""Anesthesia for Obstetric Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1963,"""Anesthesia for Obstetric Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1965,"""Anesthesia for Obstetric Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1966,"""Anesthesia for Obstetric Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1967,"""Anesthesia for Obstetric Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1968,"""Anesthesia for Obstetric Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1969,"""Anesthesia for Obstetric Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1990,"""Anesthesia for Other Procedures.Anesthesia. for Urological Services       """,Anesthesiology
1991,"""Anesthesia for Other Procedures.Anesthesia. for Urological Services       """,Anesthesiology
